Category,State/UT,Personal Revenge,Anger,Fraud,Extortion,Causing Disrepute,Prank,Sexual Exploitation,Political Motives,Terrorist Activities - Terrorist Activities (Total),Terrorist Activities - Terrorist Recruit-ment,Terrorist Activities - Terrorist Funding,Terrorist Activities - Others,Inciting Hate against Country,Disrupt Public Service,Sale purchase illegal drugs,Developing own business,Spreading Piracy,Psycho or Pervert,Steal Information,Abetment to Suicide,Others,Total
State,Andhra Pradesh,16,17,1211,28,4,5,84,88,0,0,0,0,0,0,0,9,4,0,2,0,418,1886
State,Arunachal Pradesh,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,8
State,Assam,555,263,243,518,33,14,289,16,54,0,0,54,3,3,0,0,0,0,0,0,240,2231
State,Bihar,27,7,844,109,0,5,8,0,0,0,0,0,0,0,2,46,0,0,0,0,2,1050
State,Chhattisgarh,2,1,47,2,25,0,30,5,0,0,0,0,1,1,0,0,0,0,0,0,61,175
State,Goa,2,1,9,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
State,Gujarat,5,20,363,17,308,10,32,1,0,0,0,0,0,4,0,0,0,0,0,0,24,784
State,Haryana,2,3,151,16,1,8,57,1,0,0,0,0,0,0,0,3,4,0,0,0,318,564
State,Himachal Pradesh,7,3,15,7,6,1,22,1,4,0,0,4,0,0,0,0,1,0,0,0,9,76
State,Jammu & Kashmir,5,0,27,4,1,0,5,2,1,1,0,0,2,0,0,0,0,0,0,0,26,73
State,Jharkhand,8,0,964,4,0,0,15,0,7,7,0,0,0,0,8,4,0,0,82,0,3,1095
State,Karnataka,12,4,11381,43,109,1,90,9,3,0,0,3,0,0,0,16,2,0,0,0,350,12020
State,Kerala,68,25,67,6,28,6,70,16,0,0,0,0,0,0,0,2,7,0,0,0,12,307
State,Madhya Pradesh,2,2,178,21,113,2,40,2,0,0,0,0,1,0,0,1,0,1,1,0,238,602
State,Maharashtra,48,45,3551,35,87,10,557,12,21,0,0,21,0,0,0,12,1,0,7,0,581,4967
State,Manipur,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
State,Meghalaya,4,7,50,7,2,0,5,2,0,0,0,0,0,1,0,0,0,0,0,0,11,89
State,Mizoram,1,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
State,Nagaland,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
State,Odisha,24,0,1000,279,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,46,1485
State,Punjab,4,8,81,23,21,5,65,4,0,0,0,0,1,1,0,3,0,0,1,0,26,243
State,Rajasthan,17,45,938,59,90,6,103,9,0,0,0,0,3,0,0,12,2,0,0,0,478,1762
State,Sikkim,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
State,Tamil Nadu,39,22,73,21,80,4,65,50,0,0,0,0,3,6,0,2,3,0,0,0,17,385
State,Telangana,11,4,2013,49,1,6,78,6,2,0,0,2,2,1,0,10,0,0,0,0,508,2691
State,Tripura,1,1,2,3,6,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,4,20
State,Uttar Pradesh,301,81,3549,544,953,1293,430,90,106,0,0,106,31,11,0,61,18,0,0,0,3948,11416
State,Uttarakhand,4,8,28,5,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,43,100
State,West Bengal,28,9,68,25,2,3,39,1,0,0,0,0,2,0,0,0,0,0,0,0,158,335
State,TOTAL STATE(S),1195,581,26853,1827,1874,1384,2238,316,198,8,0,190,49,28,10,181,43,1,93,0,7524,44395
UT,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
UT,Chandigarh,4,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,5,23
UT,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UT,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
UT,Delhi,4,0,31,15,0,1,21,0,1,0,0,1,0,0,0,0,0,0,0,0,42,115
UT,Lakshadweep,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
UT,Puducherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,4
UT,TOTAL UT(S),12,0,38,15,0,1,28,0,1,0,0,1,0,0,0,0,2,0,0,0,54,151
Grand Total,TOTAL ALL INDIA,1207,581,26891,1842,1874,1385,2266,316,199,8,0,191,49,28,10,181,45,1,93,0,7578,44546
