Sl. No.,City,Personal Revenge,Anger,Fraud,Extortion,Causing Disrepute,Prank,Sexual Exploitation,Political Motives,Terrorist Activities,Inciting Hate against Country,Disrupt Public Service,Sale Purchase illegal drugs,Developing own business,Spreading Piracy,Psycho or Pervert,Steal Information,Abetment to Suicide,Others,Total
1,Ahmedabad (Gujarat),0,9,341,3,63,1,28,1,1,0,0,0,0,0,0,0,0,0,447
2,Bengaluru (Karnataka),24,10,6038,62,64,0,224,0,0,0,0,0,0,0,0,0,0,1,6423
3,Chennai (Tamil Nadu),7,1,21,1,0,2,35,5,0,0,1,0,0,0,0,0,0,3,76
4,Coimbatore (Tamil Nadu),0,0,42,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,44
5,Delhi City,4,4,55,20,0,0,172,0,0,0,1,0,1,2,0,0,0,86,345
6,Ghaziabad (Uttar Pradesh),0,0,376,0,2,0,5,0,0,0,0,0,0,0,0,15,0,53,451
7,Hyderabad (Telangana),0,0,3288,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3303
8,Indore (Madhya Pradesh),2,0,14,3,13,0,4,0,0,0,1,0,0,0,0,0,0,0,37
9,Jaipur (Rajasthan),6,3,140,7,17,0,7,3,0,0,0,0,0,0,0,0,0,71,254
10,Kanpur (Uttar Pradesh),0,0,0,196,119,0,81,0,0,0,0,0,0,0,0,0,0,53,449
11,Kochi (Kerala),0,3,21,2,8,4,22,0,0,0,1,0,0,1,0,0,0,0,62
12,Kolkata (West Bengal),5,0,25,5,0,19,31,0,0,0,0,0,0,0,0,0,0,135,220
13,Kozhikode (Kerala),0,7,17,0,0,2,11,0,0,0,0,0,0,0,0,0,0,0,37
14,Lucknow (Uttar Pradesh),0,0,423,602,24,0,18,0,0,0,0,0,0,0,0,0,0,0,1067
15,Mumbai (Maharashtra),4,3,1822,42,12,0,237,0,0,0,2,0,1,0,0,0,0,760,2883
16,Nagpur (Maharashtra),1,30,118,4,7,2,18,1,0,0,0,3,7,0,0,0,0,1,192
17,Patna (Bihar),16,14,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304
18,Pune (Maharashtra),0,0,0,1,0,0,13,0,0,0,0,0,0,0,0,0,0,211,225
19,Surat (Gujarat),0,0,145,1,150,0,0,0,0,0,0,0,0,0,0,0,0,0,296
Total Cities,Total Cities,69,84,13160,965,479,30,907,10,1,0,6,3,9,3,0,15,0,1374,17115
